產品交易價量走勢圖,,
"平均價：元/公斤
交易量：　 公斤",,
交易日期,平均價,交易量
104年01月,40.4 ,163166.0 
104年02月,38.8 ,140737.0 
104年03月,34.8 ,211600.0 
104年04月,27.6 ,427326.0 
104年05月,21.1 ,580015.0 
104年06月,27.7 ,608705.0 
104年07月,23.3 ,661925.0 
104年08月,42.8 ,545688.0 
104年09月,48.1 ,563073.0 
104年10月,50.0 ,539464.0 
104年11月,31.2 ,452384.0 
104年12月,39.7 ,239553.0 
105年01月,56.4 ,145263.0 
105年02月,95.3 ,102968.0 
105年03月,73.6 ,142615.0 
105年04月,41.3 ,349989.0 
105年05月,23.6 ,557108.0 
105年06月,27.7 ,546547.0 
105年07月,31.2 ,633996.0 
105年08月,26.4 ,629712.0 
105年09月,40.9 ,480680.0 
105年10月,64.7 ,472515.0 
105年11月,47.7 ,372609.0 
105年12月,41.9 ,205386.0 
106年01月,39.9 ,137167.0 
106年02月,37.9 ,138998.0 
106年03月,33.9 ,220878.0 
106年04月,24.0 ,380583.0 
106年05月,22.3 ,512927.0 
106年06月,43.4 ,471464.0 
106年07月,29.5 ,650800.0 
106年08月,31.2 ,653559.0 
106年09月,28.1 ,601605.0 
106年10月,39.9 ,408908.0 
106年11月,39.8 ,353780.0 
106年12月,55.5 ,160746.0 
107年01月,47.9 ,139861.0 
107年02月,63.1 ,86995.0 
107年03月,38.2 ,171341.0 
107年04月,21.6 ,367852.0 
107年05月,17.0 ,554824.0 
107年06月,29.5 ,428523.0 
107年07月,28.2 ,557477.0 
107年08月,28.8 ,509416.0 
107年09月,40.9 ,490756.0 
107年10月,26.9 ,463287.0 
107年11月,30.7 ,245201.0 
107年12月,42.4 ,149349.0 
108年01月,41.6 ,136372.0 
108年02月,36.8 ,144164.0 
108年03月,54.2 ,173402.0 
108年04月,27.3 ,385632.0 
108年05月,33.9 ,450805.0 
108年06月,31.3 ,495086.0 
108年07月,33.6 ,516639.0 
108年08月,38.0 ,495660.0 
108年09月,34.2 ,478250.0 
108年10月,21.2 ,478456.0 
108年11月,27.2 ,266400.0 
108年12月,45.7 ,146946.0 
109年01月,45.6 ,122865.0 
109年02月,52.6 ,117000.0 
109年03月,25.3 ,229263.0 
109年04月,28.7 ,281558.0 
109年05月,21.6 ,436426.0 
109年06月,32.7 ,477442.0 
109年07月,21.4 ,528645.0 
109年08月,32.8 ,505759.0 
109年09月,25.5 ,523580.0 
109年10月,33.7 ,369682.0 
109年11月,40.8 ,239286.0 
109年12月,47.7 ,156906.0 
110年01月,62.4 ,105375.0 
110年02月,33.9 ,99501.0 
110年03月,31.3 ,188266.0 
110年04月,23.4 ,317736.0 
110年05月,19.8 ,393037.0 
110年06月,42.7 ,322802.0 
110年07月,28.9 ,459860.0 
110年08月,53.1 ,360819.0 
110年09月,31.3 ,436996.0 
110年10月,42.0 ,341533.0 
110年11月,37.0 ,260697.0 
110年12月,42.9 ,145580.0 
111年01月,50.7 ,112085.0 
111年02月,76.7 ,62583.0 
111年03月,48.5 ,179106.0 
111年04月,40.1 ,241476.0 
111年05月,40.4 ,288956.0 
111年06月,35.3 ,382028.0 
111年07月,30.3 ,443762.0 
111年08月,38.0 ,384761.0 
111年09月,47.0 ,320892.0 
111年10月,36.6 ,291642.0 
111年11月,42.0 ,208291.0 
111年12月,86.1 ,105246.0 
112年01月,59.2 ,98711.0 
112年02月,63.9 ,77882.0 
112年03月,34.3 ,171464.0 
112年04月,34.8 ,218981.0 
112年05月,28.3 ,351613.0 
112年06月,27.8 ,350251.0 
112年07月,38.2 ,364563.0 
112年08月,48.1 ,387786.0 
112年09月,49.4 ,370568.0 
112年10月,56.5 ,289258.0 
112年11月,41.9 ,216717.0 
112年12月,45.8 ,124507.0 
113年01月,57.2 ,88978.0 
113年02月,45.1 ,83257.0 
113年03月,46.1 ,134466.0 
113年04月,31.3 ,246699.0 
113年05月,40.1 ,332313.0 
113年06月,27.5 ,360431.0 
113年07月,43.9 ,354746.0 
113年08月,52.9 ,430715.0 
113年09月,41.2 ,355906.0 
113年10月,57.2 ,330711.0 
113年11月,80.9 ,175118.0 
113年12月,64.1 ,127810.0 
114年01月,60.8 ,95602.0 
114年02月,65.6 ,67310.0 
114年03月,51.8 ,126362.0 
114年04月,30.2 ,249265.0 
114年05月,25.8 ,338779.0 
114年06月,28.8 ,368553.0 
114年07月,46.6 ,353982.0 
114年08月,48.6 ,433016.0 
114年09月,30.7 ,368832.0 
114年10月,44.6 ,330893.0 
114年11月,49.0 ,217017.0 
114年12月,35.0 ,43263.0 
