產品交易價量走勢圖,,
"平均價：元/公斤
交易量：　 公斤",,
交易日期,平均價,交易量
104年01月,25.8 ,88346.0 
104年02月,17.1 ,75052.0 
104年03月,20.4 ,87609.0 
104年04月,31.0 ,90481.0 
104年05月,30.8 ,97243.0 
104年06月,59.6 ,67578.0 
104年07月,63.2 ,66231.0 
104年08月,84.0 ,55704.0 
104年09月,86.7 ,56681.0 
104年10月,81.0 ,67413.0 
104年11月,44.1 ,75901.0 
104年12月,34.2 ,76570.0 
105年01月,41.2 ,69495.0 
105年02月,78.7 ,56193.0 
105年03月,52.0 ,88886.0 
105年04月,39.1 ,93486.0 
105年05月,35.1 ,93228.0 
105年06月,52.0 ,68894.0 
105年07月,69.0 ,67834.0 
105年08月,73.2 ,54493.0 
105年09月,71.7 ,58480.0 
105年10月,103.8 ,56912.0 
105年11月,48.1 ,84696.0 
105年12月,27.3 ,92823.0 
106年01月,21.6 ,71794.0 
106年02月,19.5 ,75349.0 
106年03月,20.2 ,89025.0 
106年04月,21.4 ,96802.0 
106年05月,30.3 ,90257.0 
106年06月,67.9 ,70391.0 
106年07月,65.2 ,72877.0 
106年08月,85.0 ,57046.0 
106年09月,72.0 ,62236.0 
106年10月,82.5 ,58095.0 
106年11月,46.1 ,86725.0 
106年12月,45.8 ,78304.0 
107年01月,32.9 ,84079.0 
107年02月,34.3 ,62089.0 
107年03月,20.8 ,96631.0 
107年04月,22.4 ,93241.0 
107年05月,27.8 ,94961.0 
107年06月,50.8 ,72774.0 
107年07月,62.5 ,69681.0 
107年08月,68.1 ,62277.0 
107年09月,76.4 ,62584.0 
107年10月,50.3 ,74086.0 
107年11月,34.1 ,79420.0 
107年12月,35.1 ,70596.0 
108年01月,29.8 ,77149.0 
108年02月,27.8 ,71342.0 
108年03月,47.7 ,74165.0 
108年04月,30.9 ,88284.0 
108年05月,46.2 ,79538.0 
108年06月,56.6 ,69038.0 
108年07月,65.1 ,62890.0 
108年08月,73.5 ,62002.0 
108年09月,72.3 ,62086.0 
108年10月,48.3 ,78176.0 
108年11月,32.0 ,82488.0 
108年12月,36.4 ,72655.0 
109年01月,31.2 ,72626.0 
109年02月,38.1 ,71460.0 
109年03月,23.8 ,90134.0 
109年04月,35.2 ,83500.0 
109年05月,34.1 ,88053.0 
109年06月,64.2 ,60468.0 
109年07月,60.6 ,56772.0 
109年08月,80.1 ,48686.0 
109年09月,74.8 ,54278.0 
109年10月,64.8 ,61051.0 
109年11月,54.7 ,65381.0 
109年12月,41.4 ,73118.0 
110年01月,48.6 ,71935.0 
110年02月,19.6 ,75765.0 
110年03月,24.5 ,82497.0 
110年04月,29.8 ,78866.0 
110年05月,39.2 ,72728.0 
110年06月,96.6 ,46840.0 
110年07月,83.1 ,54837.0 
110年08月,103.9 ,47120.0 
110年09月,74.0 ,54353.0 
110年10月,83.8 ,50451.0 
110年11月,48.8 ,69747.0 
110年12月,36.3 ,69760.0 
111年01月,31.9 ,73605.0 
111年02月,53.4 ,41728.0 
111年03月,44.2 ,82735.0 
111年04月,45.7 ,75374.0 
111年05月,55.1 ,71417.0 
111年06月,73.3 ,62189.0 
111年07月,78.4 ,56254.0 
111年08月,88.4 ,46584.0 
111年09月,91.1 ,47304.0 
111年10月,72.2 ,58741.0 
111年11月,52.4 ,67666.0 
111年12月,80.3 ,52809.0 
112年01月,53.5 ,59589.0 
112年02月,37.7 ,65753.0 
112年03月,30.6 ,78860.0 
112年04月,45.2 ,63012.0 
112年05月,42.3 ,71952.0 
112年06月,58.9 ,55536.0 
112年07月,89.6 ,47116.0 
112年08月,102.5 ,45118.0 
112年09月,98.9 ,45921.0 
112年10月,105.8 ,41606.0 
112年11月,55.7 ,55317.0 
112年12月,39.9 ,61948.0 
113年01月,31.9 ,64425.0 
113年02月,27.4 ,58215.0 
113年03月,43.2 ,61770.0 
113年04月,43.8 ,60273.0 
113年05月,61.3 ,57731.0 
113年06月,67.1 ,47564.0 
113年07月,101.0 ,34985.0 
113年08月,129.1 ,35358.0 
113年09月,107.7 ,35743.0 
113年10月,105.6 ,43834.0 
113年11月,101.6 ,45521.0 
113年12月,58.3 ,65180.0 
114年01月,35.8 ,62831.0 
114年02月,30.6 ,61135.0 
114年03月,41.6 ,60897.0 
114年04月,46.4 ,62381.0 
114年05月,45.1 ,59646.0 
114年06月,65.8 ,45935.0 
114年07月,87.8 ,46889.0 
114年08月,108.5 ,44738.0 
114年09月,89.8 ,42394.0 
114年10月,100.7 ,39644.0 
114年11月,70.7 ,53032.0 
114年12月,53.0 ,13335.0 
